pitcher_name,season,game_pk,game_datetime_utc,park,park_city,park_state,game_era
AJ Blubaugh,2025,778110,2025-04-30T18:10:00Z,Daikin Park,Houston,TX,4.5
AJ Blubaugh,2025,776862,2025-08-05T22:40:00Z,loanDepot park,Miami,FL,3.6
AJ Blubaugh,2025,776629,2025-08-23T23:05:00Z,Oriole Park at Camden Yards,Baltimore,MD,4.5
AJ Blubaugh,2025,776510,2025-08-31T18:10:00Z,Daikin Park,Houston,TX,0.0
AJ Blubaugh,2025,776489,2025-09-03T00:10:00Z,Daikin Park,Houston,TX,0.0
AJ Blubaugh,2025,776449,2025-09-06T00:05:00Z,Globe Life Field,Arlington,TX,0.0
AJ Blubaugh,2025,776393,2025-09-09T23:07:00Z,Rogers Centre,Toronto,ON,0.0
AJ Blubaugh,2025,776360,2025-09-12T23:15:00Z,Truist Park,Atlanta,GA,0.0
AJ Blubaugh,2025,776301,2025-09-17T00:10:00Z,Daikin Park,Houston,TX,0.0
AJ Blubaugh,2025,776228,2025-09-21T23:10:00Z,Daikin Park,Houston,TX,0.0
AJ Blubaugh,2025,776155,2025-09-28T01:38:00Z,Angel Stadium,Anaheim,CA,0.0
Aaron Ashby,2021,633474,2021-06-30T18:10:00Z,American Family Field,Milwaukee,WI,54.0
Aaron Ashby,2021,633000,2021-08-11T00:05:00Z,Wrigley Field,Chicago,IL,0.0
Aaron Ashby,2021,632897,2021-08-14T23:05:00Z,PNC Park,Pittsburgh,PA,0.0
Aaron Ashby,2021,632786,2021-08-22T18:10:00Z,American Family Field,Milwaukee,WI,0.0
Aaron Ashby,2021,632705,2021-08-29T18:10:00Z,Target Field,Minneapolis,MN,3.6
Aaron Ashby,2021,632638,2021-09-04T00:10:00Z,American Family Field,Milwaukee,WI,4.153846153846154
Aaron Ashby,2021,632565,2021-09-08T23:40:00Z,American Family Field,Milwaukee,WI,0.0
Aaron Ashby,2021,632510,2021-09-12T17:10:00Z,Progressive Field,Cleveland,OH,0.0
Aaron Ashby,2021,632461,2021-09-18T00:10:00Z,American Family Field,Milwaukee,WI,0.0
Aaron Ashby,2021,632367,2021-09-23T18:10:00Z,American Family Field,Milwaukee,WI,9.0
Aaron Ashby,2021,632328,2021-09-26T18:10:00Z,American Family Field,Milwaukee,WI,0.0
Aaron Ashby,2021,632301,2021-09-29T23:45:00Z,Busch Stadium,St. Louis,MO,0.0
Aaron Ashby,2021,632242,2021-10-03T19:10:00Z,Dodger Stadium,Los Angeles,CA,81.0
Aaron Ashby,2022,663178,2022-04-07T18:20:00Z,Wrigley Field,Chicago,IL,5.4
Aaron Ashby,2022,663403,2022-04-11T19:05:00Z,Oriole Park at Camden Yards,Baltimore,MD,0.0
Aaron Ashby,2022,661226,2022-04-17T18:10:00Z,American Family Field,Milwaukee,WI,0.0
Aaron Ashby,2022,661621,2022-04-22T23:05:00Z,Citizens Bank Park,Philadelphia,PA,11.571428571428571
Aaron Ashby,2022,662289,2022-04-27T22:35:00Z,PNC Park,Pittsburgh,PA,1.588235294117647
Aaron Ashby,2022,661200,2022-05-03T23:40:00Z,American Family Field,Milwaukee,WI,0.0
Aaron Ashby,2022,661550,2022-05-08T17:35:00Z,Truist Park,Atlanta,GA,13.5
Aaron Ashby,2022,661403,2022-05-15T17:40:00Z,loanDepot park,Miami,FL,0.0
Aaron Ashby,2022,661195,2022-05-21T00:10:00Z,American Family Field,Milwaukee,WI,0.0
Aaron Ashby,2022,662228,2022-05-25T20:10:00Z,Petco Park,San Diego,CA,0.0
